PROVINCE_N,DISTRICT_N,Pop,Area,Male,Female,Buddhist,Hindu,Islam,Christians,OtherReligGR,Sinhalese,Tamils,IndianTamils,Muslims,OtherEthGR,lon,lat
Central,Kandy,1369857,1924.026601,649793,720064,1005524,134376,196399,33331,227,1017854,70077,85764,190215,5947,80.6337262,7.2905715
Central,Matale,482166,2057.817909,232834,249332,383647,44044,44393,10064,18,389087,24525,23183,44498,873,80.6234161,7.467465
Central,Nuwara Eliya,706550,1745.34985,338588,367962,275922,362234,21259,46756,379,279539,31791,375776,17751,1693,80.7891068,6.9497166
Eastern,Ampara,648057,4485.027432,314410,333647,250213,102454,282746,12609,35,251018,112750,165,282484,1640,81.647344,7.2317591
Eastern,Batticaloa,525039,2489.187592,250727,274312,6380,338199,134043,46325,92,6407,380900,1740,133114,2878,81.6747295,7.7309971
Eastern,Trincomalee,377978,2643.624645,187011,190967,99993,97136,159187,21516,146,102051,115254,999,157737,1937,81.2152121,8.5873638
North Central,Anuradhapura,856004,7212.232753,419019,436985,771708,2969,71302,9880,145,777066,5219,908,70654,2157,80.4036508,8.3113518
North Central,Polonnaruwa,403437,3446.316347,199796,203641,361700,6853,30347,4479,58,365295,7362,1180,29013,587,81.0187984,7.9403384
North Western,Kurunegala,1609916,4904.47966,774892,835024,1425961,14831,116737,52176,211,1471254,18553,4189,112639,3281,80.3547286,7.4729813
North Western,Puttalam,759720,3160.838577,368844,390876,328498,28545,151500,249930,1247,559042,47826,2506,146820,3526,79.839386,8.0407913
Northern,Jaffna,583371,1012.014734,275419,307952,2506,483887,2556,94095,327,2653,578099,298,2194,127,80.0255465,9.6614981
Northern,Kilinochchi,112875,1263.39994,55658,57217,945,93084,678,18118,50,962,110706,504,678,25,80.3769999,9.3802886
Northern,Mannar,98893,1997.8584,49892,49001,1922,23540,16679,56705,47,1962,80366,127,16384,54,79.9044149,8.9809743
Northern,Mullaitivu,92143,2682.974659,46225,45918,8501,69300,2319,11899,124,8853,79266,2243,1705,76,80.814248,9.2670911
Northern,Vavuniya,171506,1896.191066,84786,86720,16616,119367,12064,23027,432,16908,141637,1461,11440,60,80.4982402,8.7542029
Sabaragamuwa,Kegalle,837695,1661.260685,400503,437192,707344,54390,61555,14305,101,714487,16357,45935,60127,789,80.3463754,7.2513317
Sabaragamuwa,Ratnapura,1081664,3288.699499,534710,546954,938742,101227,24659,16824,212,942180,55498,61698,20871,1417,80.3847345,6.7055742
Southern,Galle,1058492,1615.656159,508229,550263,994058,16193,38786,9304,151,997837,15793,5534,38566,762,80.2209773,6.0535185
Southern,Hambantota,598025,2623.590294,294248,303777,578586,1259,15204,2657,319,579985,2540,160,6566,8774,81.1212308,6.1428829
Southern,Matara,809610,1309.939829,388496,421114,762552,16291,25425,5293,49,763514,8841,12650,24254,351,80.5549561,5.95492
Uva,Badulla,811908,2871.964147,390366,421542,589570,156710,47793,17611,224,593023,19053,152441,44699,2692,81.0549815,6.9934009
Uva,Moneragala,448543,5752.252444,223540,225003,424889,12028,9285,2304,37,425733,8641,4993,8865,311,81.2518833,6.7563232
Western,Colombo,2309199,679.7267809,1136527,1172672,1627893,184868,272497,221190,2751,1764996,236294,29763,240158,37988,79.861243,6.9270786
Western,Gampaha,2296341,1385.982655,1116294,1180047,1641523,52615,117081,483850,1272,2080472,80084,9571,96948,29266,80.0143656,7.0873101
Western,Kalutara,1217374,1646.449194,590567,626807,1016699,39504,114466,46391,314,1055424,24245,23754,111904,2047,79.96074,6.5853948
